Session identifier;38155;0,197708333; 14:31:52;;;;;;;
150;-97;;;;;;;;;
151;-99;;;;;;;;;
152;-96;;;;;;;;;
153;-97;;;;;;;;;
154;-95;;;;;;;;;
155;-95;;;;;;;;;
156;-94;;;;;;;;;
157;-92;;;;;;;;;
158;-91;;;;;;;;;
159;-93;;;;;;;;;
160;-97;;;;;;;;;
F;75450;60;13:33:26:0;51.452.178.333;5.485.840.000;9;A;9292;;
162;-95;;;;;;;;;
163;-98;;;;;;;;;
164;-97;;;;;;;;;
165;-92;;;;;;;;;
166;-92;;;;;;;;;
167;-91;;;;;;;;;
168;-91;;;;;;;;;
169;-94;;;;;;;;;
170;-93;;;;;;;;;
171;-92;;;;;;;;;
172;-88;;;;;;;;;
173;-89;;;;;;;;;
174;-90;;;;;;;;;
175;-91;;;;;;;;;
176;-93;;;;;;;;;
178;-92;;;;;;;;;
179;-89;;;;;;;;;
180;-89;;;;;;;;;
181;-89;;;;;;;;;
"?18??F????1?;c?";;;;;;;;;;
G;98994;61;13:33:28:0;51.452.163.333;5.4866333?3;8;A;9292;;
?4?L-7<;;;;;;;;;;
147;-;;;;;;;;;
";4(-7`?171	.?4";953?-77;;;;;;;;;
X?1;$3&-94R$-g);;;;;;;;;
4y?;?7;;;;;;;;;
?!U4;?t;;;;;;;;;
?54?%77K?45|<.2=??%4?-3Z?58?(?4m?!P9`??;;;;;;;;;;
Z?64}?7V;;;;;;;;;;
1d?;.2?;;;;;;;;;
#=>2%;;;;;;;;;;
16 m<3;?967?-?\;;;;;;;;;
2:5|?75hF1=?;#NAME?;;;;;;;;;
3127/';;;;;;;;;;
G;98994;61;13:33:28:0;51.452.163.333;5.486.633.333;8;A;9292;;
168;-75;;;;;;;;;
169;-78;;;;;;;;;
170;-78;;;;;;;;;
171;-79;;;;;;;;;
172;-77;;;;;;;;;
173;-77;;;;;;;;;
174;-77;;;;;;;;;
175;-77;;;;;;;;;
176;-77;;;;;;;;;
178;-77;;;;;;;;;
179;-77;;;;;;;;;
180;-78;;;;;;;;;
181;-77;;;;;;;;;
182;-77;;;;;;;;;
183;-77;;;;;;;;;
184;-78;;;;;;;;;
186;-78;;;;;;;;;
187;-79;;;;;;;;;
1h?4:5?W8|^akh?#?1????t5/0;;;;;;;;;;
G;9???T???p??uK9XC;58977;73;13:33:31:0;51.451.371.667;5.485.870.000;10;A;9292;
164;-99;;;;;;;;;
165;-102;;;;;;;;;
166;-100;;;;;;;;;
167;-103;;;;;;;;;
168;-101;;;;;;;;;
170;-102;;;;;;;;;
172;-98;;;;;;;;;
173;-101;;;;;;;;;
174;-103;;;;;;;;;
175;-102;;;;;;;;;
176;-101;;;;;;;;;
178;-100;;;;;;;;;
179;-101;;;;;;;;;
181;-102;;;;;;;;;
182;-101;;;;;;;;;
183;-97;;;;;;;;;
184;-100;;;;;;;;;
185;-97;;;;;;;;;
186;-100;;;;;;;;;
188;-100;;;;;;;;;
C;58977;73;13:33:31:0;51.451.371.667;5.485.870.000;10;A;9292;;
189;-100;;;;;;;;;
190;-102;;;;;;;;;
191;-99;;;;;;;;;
192;-102;;;;;;;;;
193;-97;;;;;;;;;
195;-97;;;;;;;;;
196;-102;;;;;;;;;
197;-102;;;;;;;;;
198;-98;;;;;;;;;
?u?;-103;;;;;;;;;
200;-99;;;;;;;;;
201;-100;;;;;;;;;
202;-100;;;;;;;;;
203;-100;;;;;;;;;
204;-102;;;;;;;;;
205;-99;;;;;;;;;
206;-99;;;;;;;;;
?<??O`/?:;;;;;;;;;;
E;32828;69;13:33:35:0;51.451.795.000;5.486.191.667;6;A;9292;;
178;-93;;;;;;;;;
179;-94;;;;;;;;;
180;-95;;;;;;;;;
181;-94;;;;;;;;;
182;-97;;;;;;;;;
183;-97;;;;;;;;;
??;-102;;;;;;;;;
186;-97;;;;;;;;;
187;-98;;;;;;;;;
188;-95;;;;;;;;;
189;-98;;;;;;;;;
190;-98;;;;;;;;;
191;-101;;;;;;;;;
192;-99;;;;;;;;;
195;-96;;;;;;;;;
196;-97;;;;;;;;;
198;-101;;;;;;;;;
199;-100;;;;;;;;;
200;-98;;;;;;;;;
201;-99;;;;;;;;;
202;-96;;;;;;;;;
E;32828;69;13:33:35:0;51.451.795.000;5.486.191.667;6;A;9292;;
203;-94;;;;;;;;;
204;-102;;;;;;;;;
205;-95;;;;;;;;;
206;-98;;;;;;;;;
207;-94;;;;;;;;;
208;-98;;;;;;;;;
210;-92;;;;;;;;;
211;-97;;;;;;;;;
212;-94;;;;;;;;;
213;-98;;;;;;;;;
214;-98;;;;;;;;;
215;-93;;;;;;;;;
216;-96;;;;;;;;;
217;-99;;;;;;;;;
218;-101;;;;;;;;;
219;-100;;;;;;;;;
220;-97;;;;;;;;;
221;-98;;;;;;;;;
22???6?:G??\;;;;;;;;;;
F;75450;61;13:33:38:0;51.452.178.333;5.485.840.000;9;A;9292;;
186;-91;;;;;;;;;
187;-96;;;;;;;;;
188;-103;;;;;;;;;
189;-103;;;;;;;;;
190;-97;;;;;;;;;
191;-93;;;;;;;;;
192;-92;;;;;;;;;
195;-89;;;;;;;;;
196;-89;;;;;;;;;
197;-90;;;;;;;;;
198;-94;;;;;;;;;
199;-95;;;;;;;;;
200;-97;;;;;;;;;
201;-98;;;;;;;;;
202;-100;;;;;;;;;
203;-102;;;;;;;;;
204;-101;;;;;;;;;
205;-94;;;;;;;;;
206;-95;;;;;;;;;
207;-99;;;;;;;;;
208;-102;;;;;;;;;
F;75450;61;13:33:38:0;51.452.178.333;5.485.840.000;9;A;9292;;
211;-96;;;;;;;;;
212;-92;;;;;;;;;
213;-92;;;;;;;;;
214;-92;;;;;;;;;
